Tipo,Pregunta,A,B,C,D,Respuesta,Fuente,Columna 1
alternativa,"EN EL ÁREA MINA, ¿QUIÉN ES EL ENCARGADO DE ACTIVAR O DESACTIVAR LAS ALERTAS EN LOS PERÍODOS DE INVIERNO?",LA GERENCIA DE CADA ÁREA,EL JEFE TURNO MINA,EL COI,CENTRAL COLLAHUASI,C,OP_INV,
alternativa,"EN PERIODO DE INVIERNO ALTIPLÁNICO, ¿QUÉ FRECUENCIAS SE UTILIZAN EN LA MINA, A PARTIR DE LAS BARRERAS?",OP INV,FRONTERA,ALTO Y BAJO ROSARIO,RUTA POZO,C,OP_INV,
alternativa,LA REPROGRAMACIÓN Y RETIRO DE VISITAS POR PARTE DE CADA ÁREA ES UNA ACCIÓN DURANTE:,"ALERTA 2 AMARILLA, INVIERNO ALTIPLÁNICO","ALERTA 1 AZUL, INVIERNO CONTINENTAL","ALERTA 2 AMARILLA, INVIERNO CONTINENTAL","ALERTA 1 AZUL, INVIERNO ALTIPLÁNICO",C,OP_INV,
alternativa,"LOS VEHÍCULOS QUE INGRESAN Y SALEN DE FAENA, DEBEN PORTAR EQUIPO DE RADIO BASE CON FRECUENCIA RADIAL…",OP ICV,RUTA POZO,OPERACIÓN INVIERNO,TODAS LAS ANTERIORES,C,REG_INT_TRANS,
alternativa,NOMBRE 4 REQUERIMIENTOS ASOCIADOS A PLANTA Y EQUIPOS DEL EPF 1.,"EXTINTOR, GATA, BALIZAS, FOCO","2 NEUMÁTICOS, PÉRTIGA DE 4,6 MTS. DE ALTURA, RADIO BASE Y MÓVIL, TRIÁNGULOS","BOTIQUÍN, TRIÁNGULOS, CINTURÓN DE SEGURIDAD, ALARMA DE RETROCESO","CINTAS REFLECTANTES, NÚMERO DE IDENTIFICACIÓN POSITIVA, TAG DEL CONDUCTOR, RADIO BASE Y MÓVIL",C,EPF,
alternativa,"RESTRINGIDO, LAS PERSONAS DEBEN DIRIGIRSE A ZONAS SEGURAS TRANSITORIAS O PERMANENTES. LAS ACTIVIDADES CRÍTICAS DESARROLLADAS A LA INTEMPERIE PARA LA CONTINUIDAD OPERACIONAL DEBERÁN SER AUTORIZADAS POR EL COI. ESTE ENUNCIADO PERTENECE A:",ALERTA 1,ALERTA 2,ALERTA 3,ALERTA 4,C,OP_INV,
alternativa,"SEGÚN EL REGLAMENTO DE TRÁNSITO, EL CÓDIGO DE EMERGENCIA N°3 INDICA:",INCENDIO,DAÑO A LAS PERSONAS,DAÑO AMBIENTAL,NINGUNA DE LAS ANTERIORES,C,REG_INT_TRANS,
alternativa,"SEGÚN EL REGLAMENTO INTERNO DE TRÁNSITO, ¿QUÉ ANTIGUEDAD MÍNIMA SE DEBE ACREDITAR EN CONDUCCIÓN DE VEHÍCULOS LIVIANOS?",3 AÑOS,6 AÑOS,2 AÑOS,4 AÑOS,C,REG_INT_TRANS,
alternativa,"SI ACTIVO UNA EMERGENCIA RADIAL, ¿CÓMO LA DESACTIVA LUEGO?",APAGANDO EL EQUIPO,QUITANDO LA BATERÍA,PRESIONANDO POR 5 SEGUNDOS EL BOTÓN NARANJA EN SILENCIO RADIAL,PRESIONANDO POR 10 SEGUNDOS EL BOTÓN ROJO,C,REG_INT_TRANS,
alternativa,"SI LAS 2 PRIMERAS OPCIONES SON INSEGURAS PARA ESTACIONARSE ALREDEDOR DE UNA RETROEXCAVADORA, ¿CUÁL PODRÍA SER UNA TERCERA OPCIÓN?",A LA IZQUIERDA,A LA DERECHA,"ADELANTE O ATRÁS, SEGÚN LA PENDIENTE",A NO MENOS DE 10 MTS. EN UNA ZONA PROTEGIDA,C,REG_INT_TRANS,
alternativa,"TODAS LAS PERSONAS QUE INGRESEN CONDUCIENDO AL ÁREA MINA, ¿QUÉ RADIOCOMUNICACIÓN DEBEN PORTAR?",FIJA,MÓVIL,FIJA Y MÓVIL,NINGUNA DE LAS ANTERIORES,C,REG_INT_TRANS,
alternativa,MANEJO DE SUSTANCIAS PELIGROSAS CORRESPONDE AL EPF...,1,2,3,4,C,EPF,
alternativa,AISLAMIENTO Y BLOQUEO CORRESPONDE AL EPF...,7,6,5,4,C,EPF,
alternativa,OPERACIONES MARÍTIMO PORTUARIAS CORRESPONDE AL EPF...,4,6,9,8,C,EPF,
alternativa,EL ESTACIONAMIENTO DE VEHÍCULOS DEBE HACERSE... ,"ACULATADO EN TODOS LOS RECINTOS DE LA COMPAÑÍA Y OBLIGATORIAMENTE INSTALAR UNA CUÑA EN NEUMÁTICOS DELANTEROS DE VEHÍCULOS LIVIANOS Y NO LIVIANOS, NO SIENDO OBLIGATORIO EL USO DE CUÑAS EN ESTACIONAMIENTOS HABILITADOS CON BADÉN.","ACULATADO EN TODOS LOS RECINTOS DE LA COMPAÑÍA Y OBLIGATORIAMENTE INSTALAR UNA CUÑA EN NEUMÁTICOS TRASEROS DE VEHÍCULOS LIVIANOS Y NO LIVIANOS, SIENDO OBLIGATORIO EL USO DE CUÑAS EN ESTACIONAMIENTOS HABILITADOS CON BADÉN.","ACULATADO EN TODOS LOS RECINTOS DE LA COMPAÑÍA Y OBLIGATORIAMENTE INSTALAR UNA CUÑA EN NEUMÁTICOS TRASEROS DE VEHÍCULOS LIVIANOS Y NO LIVIANOS, NO SIENDO OBLIGATORIO EL USO DE CUÑAS EN ESTACIONAMIENTOS HABILITADOS CON BADÉN.","ACULATADO EN TODOS LOS RECINTOS DE LA COMPAÑÍA Y OBLIGATORIAMENTE INSTALAR DOS CUÑAS EN NEUMÁTICOS TRASEROS DE VEHÍCULOS LIVIANOS Y NO LIVIANOS, SIENDO OBLIGATORIO EL USO DE CUÑAS EN ESTACIONAMIENTOS HABILITADOS CON BADÉN.",C,REG_INT_TRANS,
alternativa,¿A CUÁNTOS MTS DE DISTANCIA SE PUEDE ESTACIONAR A LA DERECHA DE UN REGADOR KOMATSU 830?,A 5 MTS,A 7 MTS,A 10 MTS,30 MTS CON PÉRTIGA VISIBLE,D,REG_INT_TRANS,
alternativa,¿A QUÉ DISTANCIA SE PUEDE ESTACIONAR UN VEHÍCULO EN PENDIENTE POSITIVA ADELANTE DE UN CARGADOR FRONTAL CATERPILLAR 988 K?,A 7 MTS,A 10 MTS,A 5 MTS,A 8 MTS,D,REG_INT_TRANS,
alternativa,¿A QUIÉN SE LE PIDE AUTORIZACIÓN PARA INGRESAR A LA MINA?,AL SUPERVISOR DE TURNO,A DESPACHO,AL JEFE TURNO,A NADIE,D,REG_INT_TRANS,
alternativa,¿A QUIÉN SE LE PIDE AUTORIZACIÓN PARA INGRESAR A UNA ZONA DE CARGUÍO?,AL JEFE TURNO MINA,AL OPERADOR DE LA PERFORADORA,AL OPERADOR DE LA EXCAVADORA,AL OPERADOR DEL EQUIPO DE CARGUÍO,D,REG_CARGIO,
alternativa,¿A QUIÉN SE LE PIDE PERMISO PARA INGRESAR AL ÁREA DE CHANCADO?,AL OPERADOR DE LA PALA,AL OPERADOR DE LA EXCAVADORA,AL JEFE TURNO MINA,AL OPERADOR DEL CHANCADO,D,REG_INT_TRANS,
alternativa,¿COLORES PROHIBÍDOS DE CAMIONETA EN LA MINA?,BLANCO Y AMARILLO,NEGRO Y SIMILARES,NEGRO Y BLANCO,BLANCO Y SIMILARES,D,REG_INT_TRANS,
alternativa,¿CON QUÉ FRECUENCIA OBLIGATORIA DEBEN CONTAR LOS VEHÍCULOS LIVIANOS Y NO LIVIANOS PARA VIAJAR FUERA DE FAENA?,CON LA FRECUENCIA COOR MIN,CON LA FRECUENCIA OP ICV,CON LA FRECUENCIA RUTA POZO,CON LA FRECUENCIA OP INVIERNO,D,REG_INT_TRANS,
alternativa,¿CON QUÉ SE DEBE CONTAR PARA TRABAJAR EN ALERTA 4 DE INVIERNO ALTIPLÁNICO A LA INTEMPERIE?,"SE DEBE CONTAR CON RADIOCOMUNICACIÓN EN TERRENO, UN INDUCTOR DE RAYOS Y LA AUTORIZACIÓN DE LA GERENCIA DEL ÁREA CORRESPONDIENTE Y DEL COI","SE DEBE CONTAR CON RADIOCOMUNICACIÓN EN TERRENO, UN CONDUCTOR DE RAYOS Y LA AUTORIZACIÓN DE LA GERENCIA DEL ÁREA CORRESPONDIENTE Y DEL COI","SE DEBE CONTAR CON RADIOCOMUNICACIÓN EN TERRENO, UN PROTECTOR DE RAYOS Y LA AUTORIZACIÓN DE LA GERENCIA DEL ÁREA CORRESPONDIENTE Y DEL COI","SE DEBE CONTAR CON RADIOCOMUNICACIÓN EN TERRENO, UN DETECTOR DE RAYOS Y LA AUTORIZACIÓN DE LA GERENCIA DEL ÁREA CORRESPONDIENTE Y DEL COI",D,OP_INV,
alternativa,¿CON RESPECTO A LA ALERTA 3 NARANJA DE INVIERNO ALTIPLÁNICO QUE SE DETERMINA?,SE LIMITARÁN LOS TRABAJOS A LA INTEMPERIE,CADA GERENCIA SERÁ RESPONSABLE DE DEFINIR LAS ACTIVIDADES POSIBLES DE REALIZAR Y LAS QUE SERÁN REPROGRAMADAS POR RIESGOS DE TORMENTAS ELÉCTRICAS,SOLO PODRÁN REALIZARSE TRABAJOS DE FORMA LIMITADA SI ESTÁ EN UN ÁREA PROTEGIDA,NINGUNA DE LAS ANTERIORES ,D,OP_INV,
alternativa,¿CUÁL ES EL PROCEDIMIENTO DESPUÉS DE UN CAMBIO DE NEUMÁTICO? ,REALIZAR EL REACOMODE DE LAS TUERCAS,REALIZAR EL REFUERCE DE LAS TUERCAS,REALIZAR EL REAJUSTE DE LAS TUERCAS,REALIZAR EL REAPRIETE DE LAS TUERCAS,D,REG_INT_TRANS,
alternativa,¿CUÁL ES LA DISTANCIA PARA ESTACIONAR UNA CAMIONETA POR LA IZQUIERDA O DERECHA DE UN RODILLO?,A 20 MTS DE DISTANCIA,A 8 MTS DE DISTANCIA,A 10 MTS DE DISTANCIA,A 5 MTS DE DISTANCIA,D,REG_INT_TRANS,
alternativa,¿CUÁL ES LA FRECUENCIA DE LA P3?,OPICV,ROSARIO SUR,BAJO ROSARIO,ALTO ROSARIO,D,EPF,
alternativa,¿CUÁL ES LA FRECUENCIA DE LA P4?,OPICV,ROSARIO SUR,BAJO ROSARIO,ALTO ROSARIO,D,EPF,
alternativa,¿CUAL ES LA FRECUENCIA DEL STOCK TAGUA?,OPICV,ROSARIO SUR,BAJO ROSARIO,ALTO ROSARIO,D,EPF,
alternativa,¿CUÁL ES UN EQUIPO DE APOYO?,TOW HAUL,CAMIÓN LUBRICADOR,CAMION POLVORÍN,MOTONIVELADORA,D,REG_INT_TRANS,
alternativa,¿DE QUÉ COLOR PUEDEN SER LOS BANDERINES DE LAS PÉRTIGAS?,SÓLO ROJO,SÓLO NARANJA,AMARILLA Y VERDE,ROJO o NARANJA,D,REG_INT_TRANS,
alternativa,¿DÓNDE ESTÁ PROHIBÍDO ADELANTAR?,NINGUNA DE LAS ANTERIORES,EN SUBIDAS DE RAMPAS,EN BAJADAS DE RAMPAS,EN CABECERAS DE RAMPAS Y CURVAS,D,REG_INT_TRANS,
alternativa,¿FRECUENCIA DE LA CUÑA O RAMPA GRIS?,OP ICV,ROSARIO SUR,ALTO ROSARIO,BAJO ROSARIO,D,EPF,
alternativa,¿FRECUENCIA DEL RAJO UJINA?,ALTO ROSARIO,BAJO ROSARIO,ROSARIO SUR,OPICV,D,EPF,
alternativa,¿LA HOJA DE VIDA DE CONDUCTOR DEBE TENER UNA VIGENCIA MÁXIMA DE:,90 DÍAS,60 DÍAS,10 DÍAS,30 DÍAS,D,REG_INT_TRANS,
alternativa,"¿PARA ESTACIONARSE ADELANTE O ATRÁS DE UNA MOTONIVELADORA EN UNA RAMPA NEGATIVA, A QUÉ DISTANCIA DEBE REALIZARSE?",ADELANTE A 7 MTS DE DISTANCIA Y ATRÁS A 8 MTS DE DISTANCIA,ADELANTE A 50 MTS DE DISTANCIA Y ATRÁS A 7 MTS DE DISTANCIA,ADELANTE A 8 MTS DE DISTANCIA Y ATRÁS A 50 MTS DE DISTANCIA,ADELANTE A 50 MTS DE DISTANCIA Y ATRÁS A 8 MTS DE DISTANCIA,D,REG_INT_TRANS,
alternativa,¿PARA QUÉ TIPO DE INCENDIO ES UN EXTINTOR CLASE B?,MULTIPROPÓSITO,PARA FUEGOS DE ORIGEN ELÉCTRICO,"PARA FUEGOS CON COMBUSTIBLES SÓLIDOS COMO ROPA, CARTÓN, PAPEL, PLÁSTICO, MADERA",PARA FUEGOS CON COMBUSTIBLES LÍQUIDOS COMO GASOLINA Y PINTURA.,D,EXTINTORES,
alternativa,¿QUÉ ENERGÍAS DE ORIGEN Y POTENCIAL SE ORIGINAN AL CONDUCIR UNA CAMIONETA?,"BIOMECÁNICA, GRAVITACIONAL Y CINÉTICA","BIOLÓGICA, MECÁNICA Y CINÉTICA","BIOLÓGICA, MECÁNICA Y GRAVITACIONAL","BIOMECÁNICA, MECÁNICA Y CINÉTICA",D,ENERGIAS,
alternativa,¿QUÉ EQUIPOS SE PUEDEN ESCOLTAR EN LA MINA?,"GRÚAS, CAMIONES Y BUSES SIN  EXPERIENCIA, CAMAS BAJAS CON CARGAS SOBREDIMENSIONADAS","CAMAS BAJAS CON CARGAS SOBREDIMENSIONADAS, CAMIONES PETROLEROS Y PALAS","VEHÍCULOS EN PANNE, DAÑADOS O QUE TRANSITEN A MUY POCA VELOCIDAD","GRÚAS, GRÚAS HORQUILLAS, CAMAS BAJAS CON CARGAS SOBREDIMENSIONADAS",D,REG_INT_TRANS,
alternativa,¿QUÉ REQUISITOS SE DEBE TENER PARA SER CONSIDERADO COMO CONDUCTOR ESCOLTA?,"2 AÑOS CON LICENCIA INTERNA ROJA, HABER APROBADO EXÁMEN TEÓRICO DEL INSTRUCTIVO  INTERIOR MINA, TENER “ESCOLTA” EN LA LICENCIA ROJA","3 AÑOS CON LICENCIA INTERNA ROJA, HABER APROBADO EXÁMEN TEÓRICO DEL INSTRUCTIVO ESCOLTA INTERIOR MINA, TENER “ESCOLTA” EN LA LICENCIA ROJA","3 AÑOS CON LICENCIA INTERNA ROJA, HABER APROBADO EXÁMEN TEÓRICO DEL INSTRUCTIVO  INTERIOR MINA, TENER “ESCOLTA” EN LA LICENCIA ROJA","2 AÑOS CON LICENCIA INTERNA ROJA, HABER APROBADO EXÁMEN TEÓRICO DEL INSTRUCTIVO ESCOLTA INTERIOR MINA, TENER “ESCOLTA” EN LA LICENCIA ROJA",D,REG_INT_TRANS,
alternativa,¿QUIÉN COMUNICARÁ EN FAENA CORDILLERA LA TRANSICIÓN CORRESPONDIENTE DE LAS CONDICIONES DE MAL TIEMPO CRÍTICO AL PERÍODO POST MAL TIEMPO QUE CONSIDERA LABORES DE RECUPERACIÓN DE CAMINOS?,LA GERENCIA DE CADA ÁREA,EL JEFE TURNO MINA,EL COI,CENTRAL COLLAHUASI,D,OP_INV,
alternativa,¿QUIÉN ES EL ENCARGADO DE ACTIVAR Y DESACTIVAR LAS DISTINTAS ALERTAS EN PERÍODO INVERNAL?,VICEPRESIDENCIA MINA Y GERENCIA CMDIC,LA GERENCIA DE CADA ÁREA,EL JEFE TURNO MINA,EL COI,D,OP_INV,
alternativa,¿QUIÉN ES EL ENCARGADO DE INFORMAR LAS ALERTAS DE INVIERNO?,LA GERENCIA DE CADA ÁREA,EL JEFE TURNO MINA,EL COI,CENTRAL COLLAHUASI,D,OP_INV,
alternativa,"¿QUIÉN TIENE LA PRIORIDAD EN UN CRUCE NO REGULADO, UN VEHÍCULO DE TRANSPORTE DE PERSONAL O UN CAEX?",EL PRIMERO QUE LLEGA,EL VEHÍCULO DE TRANSPORTE DE PERSONAL,AMBOS,EL CAEX,D,REG_INT_TRANS,
alternativa,"AL ADELANTAR A UN CAEX EN RAMPA, ¿A CUÁNTOS MTS SE DEBE DISTANCIAR DEL LADO DERECHO DE ÉSTE, PARA SOBREPASARLO?",A 7 MTS,A 10 MTS,A 8 MTS,A 5 MTS,D,REG_INT_TRANS,
alternativa,"AL BAJAR UNA RAMPA, ¿CUÁL ES LA DISTANCIA CON RESPECTO A LOS OTROS EQUIPOS?",A 50 MTS DE DISTANCIA EN CONDICIONES NORMALES Y A 80 EN CONDICIONES ADVERSAS,A 50 MTS DE DISTANCIA EN CONDICIONES NORMALES Y A 150 EN CONDICIONES ADVERSAS,A 50 MTS DE DISTANCIA EN CONDICIONES NORMALES Y A 120 EN CONDICIONES ADVERSAS,A 50 MTS DE DISTANCIA EN CONDICIONES NORMALES Y AL DOBLE EN CONDICIONES ADVERSAS,D,REG_INT_TRANS,
alternativa,"AL ENFRENTARSE EN UNA PENDIENTE ESTRECHA UN VEHÍCULO QUE SUBE Y OTRO QUE BAJA, ¿QUIÉN TIENE LA PREFERENCIA?",EL VEHÍCULO QUE LLEGA PRIMERO,EL VEHÍCULO QUE NO SUBE,EL VEHÍCULO QUE BAJA,EL VEHÍCULO QUE SUBE,D,REG_INT_TRANS,
alternativa,"COMO CONDUCTOR, ¿AL SUBIR A FAENA CON QUIÉN ME DEBO INFORMAR SOBRE LAS CONDICIONES CLIMÁTICAS DEL CAMINO Y DE FAENA?",LA GERENCIA DE CADA ÁREA,EL JEFE TURNO MINA,EL COI,CENTRAL COLLAHUASI,D,OP_INV,
alternativa,"CUALQUIER DESVIACIÓN O INCIDENTE DETECTADO POR UN CONDUCTOR U OPERADOR, ASÍ COMO DECLARAR EL ESTADO SOMNOLENCIA Y QUE SE PRODUZCAN SITUACIONES QUE ATENTEN CONTRA SU SEGURIDAD Y/O LA DE OTROS, ¿DEBE SER REPORTADA AL?",AL SUPERVISOR,CENTRAL COLLAHUASI,LA GERENCIA DE CADA ÁREA,JEFE TURNO MINA O INSTRUCTORES MINA,D,REG_INT_TRANS,
alternativa,CUÁNDO PUEDO ADELANTAR A UN CAEX EN ÁREA MINA SIN PEDIR AUTORIZACIÓN?,CUANDO ESTÉ DETENIDO CON LAS LUCES ENCENDIDAS,CUANDO ESTÉ DETENIDO Y LO AUTORICE CON CAMBIO DE LUCES,CUANDO ESTÉ DETENIDO CON LAS LUCES DE ADVERTENCIA ENCENDIDAS,"CUANDO ESTÉ DETENIDO CON LAS LUCES DE ADVERTENCIA ENCENDIDAS Y SEGREGADO CON CONOS, CUANDO CUENTE CON PRETIL DE SEGURIDAD Y LA SIGLA ME EN EL ALFANUMÉRICO",D,REG_INT_TRANS,
alternativa,DEL 15 DE NOVIEMBRE AL 30 DE ABRIL,"ALERTA 2 AMARILLA, INVIERNO ALTIPLÁNICO","ALERTA 1 AZUL, INVIERNO CONTINENTAL","ALERTA 2 AMARILLA, INVIERNO CONTINENTAL","ALERTA 1 AZUL, INVIERNO ALTIPLÁNICO",D,OP_INV,
alternativa,DESCRIBA CON QUE SE DEBE CUMPLIR PARA ESTACIONAR AL LADO DERECHO DE UNA EXCAVADORA.,CON 20 MTS DE DISTANCIA,SI EL LADO DERECHO ESTÁ DISPONIBLE A 10 MTS DE DISTANCIA,SI EL LADO IZQUIERDO NO CUMPLE LAS CONDICIONES,NINGUNA DE LAS ANTERIORES,D,REG_INT_TRANS,
alternativa,EJEMPLO DE REQUERIMIENTOS ASOCIADOS A PLANTA Y EQUIPO SERÍA...,"TRIÁNGULOS, ESPÁTULA Y ESCOBILLA","CADENA ANTIESTÁTICA, CÁMARA DE RETROCESO, NÚMERO IDENTIFICATORIO","CONOS, GUANTES Y EXTINTOR",NINGUNA DE LAS ANTERIORES ,D,EPF,
alternativa,EJEMPLOS DE UN EQUIPO DE APOYO?,"MANIPULADOR DE CABLES, ALJIBES REGADOR, MOTONIVELADORA, RETROEXCAVADORA","WHEELDOZER, BULLDOZER, GRUA, EXCAVADORA","MANIPULADOR DE CABLES, BULLDOZER, TOWN HAUL, RETROEXCAVADORA","WHEELDOZER, BULLDOZER, MOTONIVELADORA, RETROEXCAVADORA",D,REG_INT_TRANS,
alternativa,EL ALCANCE DEL REGLAMENTO DE CARGUÍO Y TRANSPORTE ES:,"RECINTO DE LOS RAJOS MINA, OPERACIÓN MURO TRANQUE DE RELAVES, SECTORES DE VERTEDEROS, SE APLICA AL PERSONAL CMIDIC, ESED, SUBCONTRATOS Y PROVEEDORES","RECINTO DE LOS RAJOS MINA, OPERACIÓN MURO TRANQUE DE RELAVES, SECTORES DE EMPRÉSTITO Y VERTEDEROS, SE APLICA AL PERSONAL ESED, SUBCONTRATOS, PROVEEDORES Y VISITAS","RECINTO DE LOS RAJOS MINA, OPERACIÓN MURO TRANQUE DE RELAVES, SECTORES DE EMPRÉSTITO Y VERTEDEROS,  NO SE APLICA AL PERSONAL CMIDIC, ESED, SUBCONTRATOS, PROVEEDORES Y VISITAS","RECINTO DE LOS RAJOS MINA, OPERACIÓN MURO TRANQUE DE RELAVES, SECTORES DE EMPRÉSTITO Y VERTEDEROS, SE APLICA AL PERSONAL CMIDIC, ESED, SUBCONTRATOS, PROVEEDORES Y VISITAS",D,REG_CARGIO,
alternativa,"EN CASO DE UN INCIDENTE DENTRO DE LA MINA, ¿QUIÉN COORDINA EL INGRESO DE LOS VEHÍCULOS DE EMERGENCIA?",EL JEFE TURNO,EL SUPERVISOR,LA GERENCIA DE CADA ÁREA,DESPACHO,D,REG_INT_TRANS,
alternativa,"EN CONDICIONES NORMALES DE TRÁNSITO, UD VA A 50 MTS DETRÁS DE UN VEHÍCULO QUE LO ANTECEDE, ¿CUÁL SERÍA LA DISTANCIA DE TRÁNSITO EN CONDICIONES ADVERSAS?",150 MTS. CON RESPECTO AL VEHÍCULO QUE ANTECEDE,80 MTS. CON RESPECTO AL VEHÍCULO QUE ANTECEDE,50 MTS.  CON RESPECTO AL VEHÍCULO QUE ANTECEDE,EL DOBLE CON RESPECTO AL VEHÍCULO QUE ANTECEDE,D,REG_INT_TRANS,
alternativa,"EN TODO TRABAJO QUE SE REALICE A LA INTEMPERIE, SE DEBE CONTAR CON UNA RADIOFRECUENCIA EN TERRENO, UN DETECTOR DE RAYOS Y LAS AUTORIZACIONES CORRESPONDIENTES. ¿ESTE ENUNCIADO PERTENECE A LA ALERTA?",ALERTA 1,ALERTA 2,ALERTA 3,ALERTA 4,D,OP_INV,
alternativa,"EN UN CRUCE NO REGULADO, UN VEHÍCULO DE EMERGENCIA SIN BALIZA NI SIRENA, ¿QUÉ PREFERENCIA TIENE? ¿QUÉ LUGAR?",PRIMERA PREFERENCIA,SEGUNDA PREFERENCIA,TERCERA PREFERENCIA,ÚLTIMO LUGAR,D,REG_INT_TRANS,
alternativa,"EN UN CRUCE REGULADO SE ACERCA POR LA IZQUIERDA UNA AMBULANCIA Y UN BUS EN CAMBIO DE TURNO CON PERSONAL ENTRANTE POR LA DERECHA, ¿QUIÉN TIENE LA PRIORIDAD?",EL QUE LLEGA POR LA DERECHA,EL QUE LLEGA POR LA IZQUIERDA, EL QUE LLEGA PRIMERO,NINGUNA DE LAS ANTERIORES,D,EPF,
alternativa,"EN UN CRUCE REGULADO, ¿QUIÉN TIENE LA PREFERENCIA, EL QUE LLEGA POR LA DERECHA, POR LA IZQUIERDA O EL QUE LLEGA PRIMERO?",EL QUE LLEGA POR LA DERECHA,EL QUE LLEGA POR LA IZQUIERDA, EL QUE LLEGA PRIMERO,NINGUNA DE LAS ANTERIORES,D,EPF,
alternativa,"EN UN CRUCE REGULADO, DOS VEHÍCULOS DE LAS MISMAS CARACTERÍSTICAS, ¿QUIÉN TIENE LA PREFERENCIA?",EL QUE SE ACERCA POR LA IZQUIERDA,EL QUE SE ACERCA POR LA DERECHA,EL QUE LLEGA PRIMERO,NINGUNA DE LAS ANTERIORES,D,EPF,
alternativa,EQUIPOS MÓVILES DE SUPERFICIE SON AQUELLOS QUE TIENEN UNA MASA BRUTA DE MÁS DE...,5.500 KLS,6.500 KLS,3.500 KLS,4.500 KLS,D,REG_INT_TRANS,
alternativa,"ESPACIO COMPRENDIDO POR EL ÁREA DEFINIDA ALREDEDOR DE LA PALA O CARGADOR FRONTAL EN UN RADIO DE 50 MTS, CORRESPONDE A:",STOCK,AREA DE VACIADO,BOTADERO,ÁREA DE CARGUÍO,D,REG_CARGIO,
alternativa,"ME PUEDO ESTACIONAR ADELANTE Y ATRÁS DE UN CAEX, ¿CON QUÉ SE DEBE CUMPLIR?","EN PENDIENTE POSITIVA 50 MTS ADELANTE Y 8 MTS ATRÁS, EN PENDIENTE NEGATIVA 8 MTS ADELANTE Y 50 MTS ATRÁS","EN PENDIENTE POSITIVA 80 MTS ADELANTE Y 50 MTS ATRÁS, EN PENDIENTE NEGATIVA 50 MTS ADELANTE Y 80 MTS ATRÁS","EN PENDIENTE POSITIVA 50 MTS ADELANTE Y 80 MTS ATRÁS, EN PENDIENTE NEGATIVA 80 MTS ADELANTE Y 50 MTS ATRÁS","EN PENDIENTE POSITIVA 8 MTS ADELANTE Y 50 MTS ATRÁS, EN PENDIENTE NEGATIVA 50 MTS ADELANTE Y 8 MTS ATRÁS",D,REG_INT_TRANS,
alternativa,"NECESITO ADELANTAR A UN EQUIPO Y NO EXISTE CONTACTO RADIAL, ¿CUÁL DE LAS CONDICIONES PODRÍA UTILIZAR, CAMBIO DE LUCES O SEÑAL DE MANOS?",CAMBIO DE LUCES,SEÑAL DE MANOS,CUALQUIERA,NINGUNA,D,EPF,
alternativa,"PARA PODER INGRESAR CONDUCIENDO UNA CAMIONETA A LA MINA, SEGÚN EL PROCEDIMIENTO, ¿QUÉ ESPECIFICACIONES TÉCNICAS ADICIONALES DEBE TENER ÉSTA?","PÉRTIGA DE 4,6 MTS DE LARGO DESDE EL PISO, CON BANDEROLA ANARANJADA Y LED DE COLOR VERDE","BALIZA CON LUZ ESTROBOSCÓPICA DE COLOR AZUL, RADIOCOMUNICACIÓN BIDIRECCIONAL, TAG DEL CONDUCTOR Y DEL VEHÍCULO","LUZ INTERMITENTE ESTROBOSCÓPICA, 2 NEUMÁTICOS DE REPUESTO, NÚMERO IDENTIFICATORIO VISIBLE, CINTAS REFLECTANTES, FOCOS BUSCACAMINOS, ANTIGUEDAD MÁXIMA DE 5 AÑOS O KILOMETRÁJE MÁXIMO DE 80 MIL SERVICIO PERMANENTE O 100 MIL SERVICIO ESPORÁDICO",TODAS LAS ANTERIORES,D,REG_INT_TRANS,
alternativa,PRONÓSTICO METEOROLÓGICO DE FRENTE DE MAL TIEMPO,"ALERTA 2 NARANJA, INVIERNO ALTIPLÁNICO","ALERTA 2 AMARILLA, INVIERNO ALTIPLÁNICO","ALERTA 2 NARANJA, INVIERNO CONTINENTAL","ALERTA 2 AMARILLA, INVIERNO CONTINENTAL",D,OP_INV,
alternativa,"SE ENCUENTRA CON UN TRACTOR NEUMÁTICO TRABAJANDO EN LA CABECERA DE UNA RAMPA Y EL OPERADOR LO AUTORIZA A ADELANTAR, ¿CUÁL SERÍA EL PROCEDIMIENTO?",ADELANTAR CON LAS PRECAUSIONES,ADELANTAR AVISANDO POR RADIO,ADELANTAR A NO MENOS DE 5 MTS.,NO ADELANTAR,D,REG_INT_TRANS,
alternativa,"SEGÚN EL REGLAMENTO DE OPERACIÓN INVIERNO CMDIC, EN RESPONSABILIDADES DE LOS CONDUCTORES, ¿QUÉ FRECUENCIA SE DEBE UTILIZAR EN RUTAS INTERNAS?",RUTA POZO,ALTO ROSARIO ,OPERACIONES ,NINGUNA DE LAS ANTERIORES ,D,OP_INV,
